,Name,train_score,train_log_loss,test_score,test_log_loss,name,test_accuracy,test_f1,test_logloss,test_prec,test_recall,train_accuracy,train_f1,train_logloss,train_prec,train_recall
0,dummy,0.542334455667789,15.807207899345318,0.5453198653198653,15.704095502925046,,,,,,,,,,,
1,logistic_1,0.7717620650953985,0.5773054993346605,0.7636363636363637,0.5987052306678315,,,,,,,,,,,
2,grid_logistic_1,0.7669809203142537,0.5860820811902359,0.7630303030303031,0.5960105794752986,,,,,,,,,,,
3,smote_1,0.683658810325477,0.7208385718554025,0.6690909090909091,0.7335804610517396,,,,,,,,,,,
4,lr_C.01_mi200_solv_n.cg,0.7533782267115601,0.6144197210579996,0.750976430976431,0.6425524499944191,,,,,,,,,,,
5,c.01_mi200_svr_ncg_tol_1,0.6776206509539843,0.7479233762134583,0.6682154882154883,0.7735719855890466,,,,,,,,,,,
6,poly1_lr_C.01_mi200_solv_n.cg,0.7533782267115601,0.6144197210579996,0.750976430976431,0.6425524499944191,,,,,,,,,,,
7,poly2_lr_C.01_mi1000_solv_n.cg,0.7533782267115601,0.6144197210579996,0.750976430976431,0.6425524499944191,,,,,,,,,,,
8,saga_l1_mi1000,0.7274523007856342,0.6631763450917877,0.728013468013468,0.699459225069883,,,,,,,,,,,
9,lbfgs,0.7533782267115601,0.6144223459364981,0.7509090909090909,0.6425520310955464,,,,,,,,,,,
10,lbfgs_fi,0.7534006734006734,0.6142127398068359,0.7512457912457913,0.6420468504052887,,,,,,,,,,,
11,new_cg,0.7533782267115601,0.6142127097482762,0.7513131313131313,0.6420468444903482,,,,,,,,,,,
12,new_low_c,0.7306397306397306,0.6780241632301887,0.7315824915824916,0.7211385634649795,,,,,,,,,,,
13,numeric_only,0.6156902356902357,0.6780241632301887,0.6207407407407407,0.7211385634649795,,,,,,,,,,,
14,dropped3cols,0.7275196408529742,0.6780241632301887,0.7273400673400673,0.7211385634649795,,,,,,,,,,,
15,minmax_baseline,0.7717620650953985,0.5773054993346605,0.7636363636363637,0.5987052306678315,,,,,,,,,,,
16,"median_fill, min_max",0.7717620650953985,0.5773054993346605,0.7636363636363637,0.5987052306678315,,,,,,,,,,,
17,"median_fill_2, min_max",0.7715600448933783,0.5773727967664573,0.7647138047138047,0.5980446299817973,,,,,,,,,,,
18,,,,,,dummy_classifier,0.5453198653198653,0.23525652199174948,15.704095502925046,0.1817732884399551,0.3333333333333333,0.5423344556677889,0.23442146538649333,15.807207899345318,0.180778151889263,0.3333333333333333
19,,,,,,dummy_classifier,0.5453198653198653,0.23525652199174948,15.704095502925046,0.1817732884399551,0.3333333333333333,0.5423344556677889,0.23442146538649333,15.807207899345318,0.180778151889263,0.3333333333333333
