,name,train_accuracy,train_prec,train_recall,train_f1,train_logloss,test_accuracy,test_prec,test_recall,test_f1,test_logloss
0,dummy,0.5423344556677889,0.180778151889263,0.3333333333333333,0.23442146538649333,15.807207899345318,0.5453198653198653,0.1817732884399551,0.3333333333333333,0.23525652199174948,15.704095502925046
1,baseline_log,0.763097643097643,0.7005651530105281,0.5916615965691044,0.613698582234515,0.5773054993346605,0.7636363636363637,0.6974162324692085,0.5926292390342086,0.6147113764028077,0.5712699722781809
2,gridsearch1,0.7615712682379349,0.7197626591883823,0.575276514011704,0.5944767312199114,0.5860636079526863,0.763097643097643,0.7086188188287709,0.5746794881124876,0.5925080997526139,0.5801139721498395
3,smote1,0.6755780022446689,0.6078047351491984,0.6800579211090482,0.6027632810515168,0.7200168050499156,0.6711111111111111,0.608146754448227,0.6848903409667679,0.6008262721459305,0.7167792367433664
4,logistic2,0.7489786756453423,0.7213769104659049,0.5406347664083394,0.5454121864671843,0.6142127097482762,0.7513131313131313,0.711599846033284,0.5446142919682346,0.5521474956437534,0.6078165600294151
5,int_only,0.749584736251403,0.7256079570000624,0.5433059709851233,0.5499960716743273,0.6116662325253277,0.7513804713804714,0.7209791807346998,0.5467153179340993,0.5556857062728447,0.6059921353993958
6,poly_deg_2,0.749584736251403,0.7256079570000624,0.5433059709851233,0.5499960716743273,0.6116662325253277,0.7513804713804714,0.7209791807346998,0.5467153179340993,0.5556857062728447,0.6059921353993958
7,max_i_1000,0.749584736251403,0.7256079570000624,0.5433059709851233,0.5499960716743273,0.6116662325253277,0.7513804713804714,0.7209791807346998,0.5467153179340993,0.5556857062728447,0.6059921353993958
8,lbfgs,0.7495622895622895,0.72558618693176,0.5432921740756311,0.5499810368804161,0.6116634970156365,0.7513804713804714,0.7209791807346998,0.5467153179340993,0.5556857062728447,0.6059917544176356
9,smote_dict1,0.707003367003367,0.6201090224085106,0.6708489807512108,0.6210512663438339,0.6713165622861209,0.7088215488215488,0.6212737217558008,0.673982891420169,0.6225403867192757,0.6627774306477392
10,final_model,0.744668911335578,0.7104043255714847,0.537722520324551,0.5425350215257029,0.6211155775171899,0.7441077441077442,0.7111107933209532,0.5382268736242288,0.545091272851529,0.6201347187001671
